genus,href,title,caption,author
Acrobeles,https://www.wur.nl/upload_mm/4/3/4/17dc4a35-f752-4157-8ec4-46c36dee595a_Acrobeles%20mariannae%20spicula%2B%20staartpunt%20met%20papillen%20%28002%29.jpg,Acrobeles mariannae: spicula and tail region with papillae,Acrobeles mariannae: spicula and tail region with papillae,Hanny van Megen
Acrobeles complexus,,,,Hanny van Megen
Acrobeles complexus,https://www.wur.nl/upload_mm/1/8/f/bc0877bb-fec6-4329-84d4-ca661bede93e_nematode%20Acrobeles_kl1%5B1%5D.jpg,Acrobeles /Picture: Hanny van Megen,Acrobeles /Picture: Hanny van Megen,Hanny van Megen
"Acrobeloides Cobb, 1924",,,,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/6/d/c/62ddefeb-a6e5-439e-a3c5-44dc87e3d7ae_Acrobeloides%20dwf1109%202681a.jpg,Acrobeloides female body,Acrobeloides female body,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/f/e/7/eaaa5838-7924-4b12-9831-9034109d61a4_Acrobeloides%20cfr%20buetschlii%20DWF1107%20head1.jpg,Acrobeloides buetschlii: head region,Acrobeloides buetschlii: head region,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/e/e/f/00323d48-4855-425b-b4e0-2996c9164983_Acrobeloides%20dwf1109%20vulva1.jpg,Acrobeloides buetschlii: vulva,Acrobeloides buetschlii: vulva,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/5/5/2/d55c71da-3695-482f-8e02-db279387e252_Acrobeloides%20cfr%20buetschlii%20DWF1107%20tail1.jpg,Acrobeloides buetschlii: tail region,Acrobeloides buetschlii: tail region,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/9/1/e/a37f75a4-8374-47bd-b110-fe6f93d9b667_26.5.2%20acrobeloides%20nanus%20overzicht%20060700.jpg,Acrobeloides nanus: female body,Acrobeloides nanus: female body,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/b/2/1/53d1b615-b696-4ec7-bdb1-3d491d9a1da5_26.5.2%20acrobeloides%20nanus%20overzicht%20slokdarm%20tot%20vulva.jpg,"Acrobeloides nanus: female body, anterior part","Acrobeloides nanus: female body, anterior part",Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/2/5/3/bed3fbf7-e9ce-4f9f-bdc0-e1ee1793f7a0_26.5.2%20acrobeloides%20nanus%20overzicht%20vulva%20tot%20staart.jpg,"Acrobeloides nanus: female body, posterior part","Acrobeloides nanus: female body, posterior part",Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/9/6/f/38c2bd04-300e-4d03-a67c-dede332bcb1d_26.5.2%20acrobeloides%20nanus%20lippen%20%20ged.%20slokdarm%202.jpg,Acrobeloides nanus: head region,Acrobeloides nanus: head region,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/9/a/7/5d10eb67-22c0-4d76-a071-cc558b7569fa_26.5.2%20acrobeloides%20nanus%20lippen%20breder%20dan%20hoogte.jpg,Acrobeloides nanus: head region,Acrobeloides nanus: head region,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/8/1/1/0f9f39c0-c41d-43b1-980c-eae420b0614e_26.5.2%20acrobeloides%20nanus%20slokdarm%20spoelvormig%20%2Beindbulbus%202.jpg,Acrobeloides nanus: posterior pharyngeal part,Acrobeloides nanus: posterior pharyngeal part,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/8/4/c/a3c387a1-5124-45b9-8783-bf2ce6533b60_26.5.2%20acrobeloides%20nanus%20vulva.jpg,Acrobeloides nanus: vulva,Acrobeloides nanus: vulva,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/0/2/1/3a551e9a-13bc-4dff-b4a2-dc1ebd9d2e25_26.5.2%20acrobeloides%20nanus%20overzicht%20staart%2Banale%20opening.jpg,Acrobeloides nanus: tail region,Acrobeloides nanus: tail region,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/6/6/2/e8b9e01e-be3c-4739-85cc-5351d4e789a2_Image3.jpg,Acrobeloides apiculatus: female body,Acrobeloides apiculatus: female body,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/f/e/9/a601a840-a442-4787-b053-c2e11b01e36e_26.5%20Acrobeloides%20apiculatus%20papillen%2C%20mondholte1.jpg,Acrobeloides apiculatus: head region,Acrobeloides apiculatus: head region,Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/7/7/5/74ebf02c-fbdf-4d9e-b67d-ed725efe7f21_vulva%2C%20ei%20in%20en%20buiten%20lichaam%201.jpg,Acrobeloides apiculatus: vulva and egg (outside body),Acrobeloides apiculatus: vulva and egg (outside body),Hanny van Megen
"Acrobeloides Cobb, 1924",https://www.wur.nl/upload_mm/b/6/1/126f1bee-e704-48f4-977b-4f5bbf7c2d1c_anale%20opening%2C%20staartpunt.jpg,Acrobeloides apiculatus: tail region,Acrobeloides apiculatus: tail region,Hanny van Megen
Aglenchus,,,,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/c/6/6/4893730e-31f5-4020-b5ea-cd529eb59106_Aglenchus%20agricola%20BL.jpg,Aglenchus agricola: female body overview ,Aglenchus agricola: female body overview,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/8/4/1/f8511920-3be9-4394-86a7-2c49d2c5742e_Aglenchus%20agricola%20amphid%20%282%29.jpg,Aglenchus agricola: head with amphid slit visible ,Aglenchus agricola: head with amphid slit visible,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/4/5/b/803b8104-7ce5-4822-868c-ee2ad92dfc6d_Aglenchus%20agricola%20stylet-1.jpg,Aglenchus agricola: anterior pharyngeal part,Aglenchus agricola: anterior pharyngeal part,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/4/0/9/e7553fe8-d545-46e5-84ce-9a935841b345_Aglenchus%20agricola%20BB.jpg,Aglenchus agricola: posterior pharyngeal part ,Aglenchus agricola: posterior pharyngeal part,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/3/8/4/66413190-b162-4553-89ac-5ffa362fe22a_Aglenchus%20agricola%20BW%20%284%29.jpg,Aglenchus agricola: spermatheca with sperm ,Aglenchus agricola: spermatheca with sperm,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/5/1/9/a82a81f2-d407-4412-b93a-730738f66a9f_Aglenchus%20agricola%20LF.jpg,Aglenchus agricola: lateral field with 3 lines ,Aglenchus agricola: lateral field with 3 lines,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/2/2/f/5f008e46-d1bd-4d3e-ac76-2f322ef4dbb1_Aglenchus%20agricola%20bursa%20%282%29.jpg,Aglenchus agricola: bursa and spiculum ,Aglenchus agricola: bursa and spiculum,Hanny van Megen
Aglenchus,https://www.wur.nl/upload_mm/4/3/a/83a19aa0-3cec-408d-95b8-556b3a117175_Aglenchus%20agricola%20Vulva-tail%20end.jpg,Aglenchus agricola: bursa and spiculum ,Aglenchus agricola: bursa and spiculum,Hanny van Megen
Alaimus,,,,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/3/6/8/6bb1888f-c55b-4558-8c13-17bbb086c5f8_Alaimus%20elongatus%20overzicht%20slokdarm2.jpg,Alaimus elongatus: female anterior body,Alaimus elongatus: female anterior body,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/1/d/9/4bed7e55-c33d-4293-ae5d-d991affc48d8_Alaimus%20elongatus%20overzicht%20gonade%20%2B%20staart2.jpg,Alaimus elongatus: female posterior body,Alaimus elongatus: female posterior body,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/b/0/f/b81d5bd2-2ff2-4eb5-bb11-33d4d9c646f3_Alaimus%20Elongatus%20mondholte%2C%20%20ged.slokdarm3.jpg,Alaimus elongatus: head region with pharynx (partly). ,Alaimus elongatus: head region with pharynx (partly).,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/6/9/c/433f6ed4-830b-4fcf-ae7b-f7f0e45131c7_Alaimus%20elongatus%20slokdarmbasis2.jpg,Alaimus elongatus: posterior part of pharynx,Alaimus elongatus: posterior part of pharynx,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/0/3/1/9cb5fcbe-81b5-4313-9fe9-1132662795ac_Alaimus%20elongatus%20voorste%20gonade%20gereduceerd%2C%20vulva2.jpg,Alaimus elongatus: vulva with gonad (partly),Alaimus elongatus: vulva with gonad (partly),Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/e/7/b/8a176eca-5b33-4029-a872-f9ab1f57444a_Alaimus%20elongatus%20anale%20opening2.jpg,Alaimus elongatus: anal opening,Alaimus elongatus: anal opening,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/c/0/0/be5cb454-e7b9-4dc8-8fe8-9ec6d5d599a4_Alaimus%20elongatus%20staartpunt2.jpg,Alaimus elongatus: posterior tail part,Alaimus elongatus: posterior tail part,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/8/5/a/aa5eeb03-7d4d-4299-9c3f-dafebe91fdc1_Alaimus%20meyli%20overview2.jpg,Alaimus meyli: female body,Alaimus meyli: female body,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/d/2/5/9a29eeca-e325-47f1-90d6-aabac03c064f_Alaimus%20meyli%20head%20region2.jpg,Alaimus meyli: head region with pharynx (partly),Alaimus meyli: head region with pharynx (partly),Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/9/a/9/301ab33b-45b7-40c1-a460-b6f120b745a8_Alaimus%20meyli%20reproductive%20system2.jpg,Alaimus meyli: vulva with gonad,Alaimus meyli: vulva with gonad,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/a/0/9/58cc79c6-101d-4a61-96ee-542aa6ce099f_Alaimus%20meyli%20anal%20opening2.jpg,Alaimus meyli: anal opening,Alaimus meyli: anal opening,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/4/9/a/16cfb6bf-19e7-4ea1-ae24-c27c48c0b92b_Alaimus%20meyli%20tail2.jpg,Alaimus meyli: tail region. ,Alaimus meyli: tail region.,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/8/c/4/69f4634b-a9f4-494c-bdeb-504be422deb4_Alaimus%20parvus%20overzicht2.jpg,Alaimus parvus: female body,Alaimus parvus: female body,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/f/d/2/f000acf1-7a97-41ac-8805-b190f76d371f_Alaimus%20parvus%20kop%2Bged.%20slokdarm2.jpg,Alaimus parvus: head region with pharynx (partly),Alaimus parvus: head region with pharynx (partly),Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/d/c/6/d4a8397f-b136-4279-b6d1-2062759d6b5f_Alaimus%20parvus%20slokdarm%20basis2.jpg,Alaimus parvus: posterior part of pharynx,Alaimus parvus: posterior part of pharynx,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/b/d/1/4d5178d5-e216-4932-ac1d-5921b421e774_Alaimus%20parvus%20vulva2.jpg,Alaimus parvus: vulva with gonad,Alaimus parvus: vulva with gonad,Hanny van Megen
Alaimus,https://www.wur.nl/upload_mm/b/1/7/9d0bb737-cd66-4752-a1a6-31874adbd546_Alaimus%20parvus%20staart%2Banus2.jpg,Alaimus parvus: tail region,Alaimus parvus: tail region,Hanny van Megen
Alirhabditis,,,,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/c/b/0/a1d14eb6-41c8-4473-acbb-122f57b91e1f_Cephalobidae%20100x%20ex.2%20mondholte.jpg,Alirhabditis sp.: head region with long tubular shaped stoma,Alirhabditis sp.: head region with long tubular shaped stoma,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/0/1/f/d8ad381b-1009-42ac-a942-e858ab0439f8_Cephalobidae%20100x%20deel%20slokdarm%20ex.3.jpg,Alirhabditis sp.: Anterior body region with part of the pharynx,Alirhabditis sp.: Anterior body region with part of the pharynx,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/d/c/d/f5679495-f711-4655-8973-9bd179161733_Cephalobidae%20100x%20slokdarmbasis%20ex%203.jpg,Alirhabditis sp.: posterior pharyngeal part,Alirhabditis sp.: posterior pharyngeal part,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/5/0/b/8730e7b6-db43-4d48-b552-831b776f7d19_Cephalobidae%20100x%202e%20deel%20slokdarm%20ex.3.jpg,Alirhabditis sp.: posterior pharyngeal part with excretory duct visible,Alirhabditis sp.: posterior pharyngeal part with excretory duct visible,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/5/c/5/0b530b74-dcd3-446d-a6db-8f3d4ce3b021_Cephalobidae%20100x%20vulva.jpg,Alirhabditis sp.: vulva region with anterior ovary (partly),Alirhabditis sp.: vulva region with anterior ovary (partly),Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/b/5/2/db35e243-0072-42d9-92c3-dca0da0f134e_Cephalobidae%20100x%20vulva%2Cgonade.jpg,Alirhabditis sp.: vulva region with reflexed anterior ovary (beyond the vulva),Alirhabditis sp.: vulva region with reflexed anterior ovary (beyond the vulva),Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/6/8/5/f4a920bf-71b7-4508-a401-972e5106fe37_Cephalobidae%20100x%20zijveld%203%20groeven.jpg,Alirhabitis sp.: lateral lines (3) near mid-body,Alirhabitis sp.: lateral lines (3) near mid-body,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/1/a/1/24cab03d-d2bc-4d54-be47-4886494ec041_Cephalobidae%20100x%20anale%20opening.jpg,Alirhabditis sp.: anterior tail part with anus,Alirhabditis sp.: anterior tail part with anus,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/3/2/5/3631dd6b-a3a4-4a9c-806c-c835c91b8e72_Cephalobidae%20100x%20anale%20opening%20ex%203.jpg,Alirhabditis sp.: anterior tail part with anus,Alirhabditis sp.: anterior tail part with anus,Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/1/a/f/c84a244a-b6f9-4c78-bb93-bca35f8608c0_Cephalobidae%20100x%20iddendeel%20staart.jpg,"Alirhabditis sp.: tail, anterior part","Alirhabditis sp.: tail, anterior part",Hanny van Megen
Alirhabditis,https://www.wur.nl/upload_mm/6/3/f/85a744c5-c5be-4eaf-b302-b1d5fb9aded5_Cephalobidae%20100x%20staart%20lang%20uitgetrokken.jpg,"Alirhabditis sp.: tail, posterior part","Alirhabditis sp.: tail, posterior part",Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",,,,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/7/8/e/4dd838be-7600-4394-8e35-f972380510c8_Anaplectus2%20cf.jpg,Anaplectus porosus: female body ,Anaplectus porosus: female body,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/f/a/4/b7361c75-0843-444d-8bf2-630e62260512_Anaplectus%20cf.%20porosus%20overview.jpg,Anaplectus porosus: female body ,Anaplectus porosus: female body,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/d/e/1/888fc9a4-01af-4e36-bdde-2e7aeb486977_Anaplectus%20cf.%20porosus%20esophagus.jpg,Anaplectus porosus: pharynx region ,Anaplectus porosus: pharynx region,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/0/d/c/86b71de1-c765-4a5b-a3c9-33afbe603353_Anaplectus%20cf.%20porosus%20ventral%20amphid.jpg,Anaplectus porosus: ventral amphid opening,Anaplectus porosus: ventral amphid opening,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/7/a/9/c08728f6-cec5-4234-9834-4f8235c2c88a_Anaplectus%20cf.%20porosus%20head%20mouth%20cavity.jpg,Anaplectus porosus: stoma & amphid,Anaplectus porosus: stoma & amphid,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/5/a/c/d5b1c28e-2d54-4bf3-a535-a3058903938f_Anaplectus%20cf.%20porosus%20ventral%20pores.jpg,Anaplectus porosus: ventral body pores in anterior body ,Anaplectus porosus: ventral body pores in anterior body,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/0/6/6/ff95d10c-53b1-4fa1-83f1-d9475fd0d472_Anaplectus%20cf.%20porosus%20dorsal%20pores.jpg,Anaplectus porosus: dorsal body pores in anterior body,Anaplectus porosus: dorsal body pores in anterior body,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/3/f/e/23b51f68-5c1d-4030-85a6-c53e038516b1_Anaplectus%20cf.%20porosus%20valve%20and%20cardia.jpg,Anaplectus porosus: valve and cardia ,Anaplectus porosus: valve and cardia,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/6/2/3/8a90e138-f8d8-4499-86fb-47b71328361a_Anaplectus%20cf.%20porosus%20lateral%20field%20and%20pores.jpg,Anaplectus porosus: lateral field and body pores ,Anaplectus porosus: lateral field and body pores,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/1/b/6/f513f7b6-b7e0-4626-891b-524be67714ec_Anaplectus%20cf.%20porosus%20midle%20and%20posterior%20parts.jpg,Anaplectus porosus: middle and posterior parts ,Anaplectus porosus: middle and posterior parts,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/c/3/0/36dcfebb-9e7e-4418-bfc9-0ab436ec1a84_Anaplectus%20cf.%20porosus%20vulva%20vagina%20egg.jpg,"Anaplectus porosus: vulva, vagina and uterus with egg ","Anaplectus porosus: vulva, vagina and uterus with egg",Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/9/4/6/c2c44ece-aacf-45f6-b213-322e7fab8cce_Anaplectus%20cf.%20porosus%20anus%20and%20caudal%20glands.jpg,Anaplectus porosus: tail region with anus and caudal glands ,Anaplectus porosus: tail region with anus and caudal glands,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/1/7/7/fcdcee72-1b58-44d6-97f9-ea52ea3c9bba_Anaplectus%20cf.%20porosus%20tail%20pores%20spineret.jpg,Anaplectus porosus: tail region with papillae and spinneret ,Anaplectus porosus: tail region with papillae and spinneret,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/3/3/7/c470820d-e1be-46a7-bbb7-c33618d65a4f_Anaplectus%20cf.%20granulosus%20mondholte%20ged.%20slokdarm.jpg,Anaplectus granulosus: female anterior body part ,Anaplectus granulosus: female anterior body part,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/a/c/0/845c2ff4-6c8f-4a06-88cd-4e6775acd9f0_Anaplectus%20cf.%20granulosus%20setae%20en%20porien%20in%20cuticula.jpg,Anaplectus granulosus: head region with small setae and body pores,Anaplectus granulosus: head region with small setae and body pores,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/f/b/f/65c4e472-a549-4857-a722-ba3b800fe600_Anaplectus%20cf.%20granulosus%20amphide.jpg,Anaplectus granulosus: head region with amphid opening (small slit) and body pores ,Anaplectus granulosus: head region with amphid opening (small slit) and body pores,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/6/b/5/1a58b151-b658-46db-ae8c-e9b9c3c0e650_Anaplectus%20cf.%20granulosus%20basis%20slokdarm.jpg,Anaplectus granulosus: posterior part of pharynx,Anaplectus granulosus: posterior part of pharynx,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/0/2/6/5c07ff11-0248-4bc2-b655-8e3c66fd0c85_Anaplectus%20cf.%20granulosus%20excretieporie%20zwelling%20in%20eusofagus.jpg,Anaplectus granulosus: posterior part of the pharynx with excretory duct ,Anaplectus granulosus: posterior part of the pharynx with excretory duct,Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/9/0/9/7cfc55fa-16a9-4759-ad3c-6921b007bbc2_Anaplectus%20cf.%20granulosus%20%20vulva.jpg,"Anaplectus granulosus: vulva, vagina and uterus","Anaplectus granulosus: vulva, vagina and uterus",Hanny van Megen
"Anaplectus De Coninck & Schuurmans Stekhoven, 1933",https://www.wur.nl/upload_mm/2/2/5/feb83fe1-eda1-4063-afc4-e85d2719cdca_Anaplectus%20cf.%20granulosus%20anale%20opening%20staartklieren.jpg,Anaplectus granulosus: tail region with anus and caudal glands ,Anaplectus granulosus: tail region with anus and caudal glands,Hanny van Megen
