media_descriptor,copyright_institution,photographer,species,identification_method,lifestage,caption,sex,source,phylum,image_file,genus
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/012-seq0014.jpg,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/013-100Xfem055.m4v,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/014-seq0015.jpg,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/015-100Xfem056.m4v,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/016-seq0016.jpg,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/017-seq0001.jpg,Tylenchoidea
Living Specimen,IEBR,None,,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/018-seq0002.jpg,Tylenchoidea
Living Specimen,,None,Myolaimus goodeyorum,None,adult,None,Female,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/019-M.--Goodeyorum--=282=29.m4v,Myolaimus
Living Specimen,,None,Myolaimus goodeyorum,None,adult,None,Female,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/020-M.--Goodeyorum--=283=29.m4v,Myolaimus
Living Specimen,,None,Myolaimus goodeyorum,None,adult,None,Male,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/022-Male--1.m4v,Myolaimus
Living Specimen,,None,Myolaimus goodeyorum,None,adult,None,Male,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/023-Male--4.m4v,Myolaimus
Living Specimen,,None,Myolaimus goodeyorum,None,adult,None,Male,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/024-Male--2.m4v,Myolaimus
Living Specimen,,None,Myolaimus goodeyorum,None,adult,None,Male,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/025-Male--3.m4v,Myolaimus
Living Specimen,,None,Myolaimus goodeyorum,None,Adult,None,Female,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/026-M.--Goodeyorum--=281=29.m4v,Myolaimus
,,,Myolaimus goodeyorum,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/027-M.--Goodeyorum--=282=29.m4v,Myolaimus
,,,Myolaimus goodeyorum,,,,,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/028-M.--Goodeyorum--=283=29.m4v,Myolaimus
Preserved Specimen,,None,,None,adult,"<p>similar to Pratylenchus dianthus but mo<img class=Image img__fid__848 img__view_mode__file_styles_original attr__format__file_styles_original"" src=""http://nematodes.myspecies.info/sites/nematodes.myspecies.info/files/paratylenchus%20letuce%20ILVO_1.pd",Female,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/029-paratylenchus--letuce--ILVO.pdf,Paratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0000.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0001.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0002.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0003.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0004.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0005.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0006.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/100x0007.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/030-T103--Pratylenchus--flakkensis/T103--Pratylenchus--flakkensis/Captured035.m4v,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/Captured--3.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/Captured--4.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq10.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq11.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq12.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq4.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq5.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq6.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq7.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq8.png,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/031-T103a--Pratylenchus--sp.--4/T103a--Pratylenchus--sp.--4/seq9.png,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0000.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0001.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0002.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0003.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0004.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0005.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0006.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0007.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0008.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0009.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/100x0010.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/032-T104--Pratylenchus--flakkensis/T104--Pratylenchus--flakkensis/Captured036.m4v,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured--1.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured2.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured3.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured4.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured5.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured6.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured7.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured--7.jpg,Pratylenchus
Occurrence,,None,Pratylenchus sp. 4,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/033-T104a--Pratylenchus--sp.--4/T104a--Pratylenchus--sp.--4/Captured--8.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0000.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0001.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0002.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0003.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0004.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0005.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0006.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0007.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0008.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0009.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0010.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0011.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/100x0012.jpg,Pratylenchus
Occurrence,,None,Pratylenchus flakkensis,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/034-T105--Pratylenchus--flakkensis/T105--Pratylenchus--flakkensis/Captured037.m4v,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0000.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0001.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0002.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0003.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0004.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0005.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0006.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/035-T106--Pratylenchus--goodeyi/T106--Pratylenchus--goodeyi/100x0007.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0000.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0001.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0002.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0003.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0004.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0005.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0006.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0007.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0008.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0009.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0010.jpg,Pratylenchus
Occurrence,,None,Pratylenchus goodeyi,None,None,None,None,https://nematodes.myspecies.info,Nematoda,https://raw.githubusercontent.com/lperepol/Supplementary/main/nematodes.myspecies.info/Images/036-T107--Pratylenchus--goodeyi/T107--Pratylenchus--goodeyi/100x0011.jpg,Pratylenchus
