2002.09.16 16:51 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.gonad20x1.25x.mo <-- paul's /home/pdeley/public_html/vCenema1/Ppenetrans Ppenetrans.fem.gonad20x1.25x.mo
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.tail.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.tail.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.fem.vulva.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.fem.vulva.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.html --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.html
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr.male.tail.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr.male.tail.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr_fem.gif --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr_fem.gif
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetr_fem.jpg --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetr_fem.jpg
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x1.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x1.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x2.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x2.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x4.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x4.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x5.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x5.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x6.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x6.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.60x1.6x7.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.60x1.6x7.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.body10x1x.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.body10x1x.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.gon20x1.25x.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.gon20x1.25x.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.fem.neck20x1.6x.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.fem.neck20x1.6x.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.male.60x1.6x8.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.male.60x1.6x8.mov
2002.09.17 18:42 B E:\Pablo\Cursos\159\Nematology159v09\159CD\Ppenetrans\Ppenetrans.neck2.mov --> faculty.ucr.edu /home/pdeley/public_html/vce/Nematology159v09/159CD/Ppenetrans Ppenetrans.neck2.mov
